Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,PRI_SCHOOL,PUB_SCHOOL
대림역삼,APT,199710,EE,78.01,111.09,78.0,325,17.0,21.0,17.0,6.5,10.0,6.58,5778.0,7205.0,7205.0,2651.0,3391.0,2789.0,37.49632,127.04647,20,0,17,1,4,12,2,6,16,43,8,0,2
이지마루역삼,OPST,201811,EE,55.57,58.74,55.0,520,4.3,5.0,4.3,,,,2585.0,2850.0,2585.0,,,,37.502274,127.03912,14,1,14,0,4,72,1,26,12,113,18,0,1
베르사이유,APT,200311,EE,127.76,127.76,127.0,149,19.0,20.0,19.0,,,,4946.0,5206.0,4946.0,,,,37.499391,127.039588,17,1,16,1,4,62,1,26,10,115,18,0,2
상지리츠빌역삼2차,APT,200612,EE,152.25,152.25,152.0,249,25.0,25.0,25.0,12.9,14.5,14.5,5437.0,5437.0,5437.0,2806.0,3154.0,3154.0,37.496752,127.04643,20,0,17,1,4,12,2,7,15,44,10,0,2
리에바움,OPST,202010,EE,30.23,52.73,50.0,716,2.5,5.3,4.5,3.95,4.5,4.0,2755.0,3576.0,2975.0,2645.0,3036.0,2645.0,37.50464,127.044105,7,2,10,0,4,51,0,17,10,73,9,0,1
동부센트레빌,APT,199804,EE,77.83,110.66,78.0,350,19.5,19.8,19.8,9.0,11.5,9.0,8264.0,8392.0,8392.0,3306.0,3864.0,3814.0,37.50256,127.049364,17,2,14,0,4,54,1,22,11,64,7,0,1
목화밀라트,OPST,200408,EE,51.78,58.52,58.0,978,3.0,3.25,3.2,,,,1710.0,1945.0,1824.0,,,,37.498939,127.029506,34,2,12,1,4,111,1,27,12,128,14,0,2
K타워,OPST,201404,EE,39.66,41.24,41.0,732,1.7,2.3,2.15,2.0,2.2,2.0,1441.0,1854.0,1734.0,1613.0,1774.0,1613.0,37.50452,127.044352,7,2,10,0,4,52,0,17,10,73,9,0,1
역삼현대벤쳐텔,OPST,200106,EE,69.32,141.47,86.0,1092,2.3,5.3,2.8,,,,1026.0,1243.0,1076.0,,,,37.501675,127.035668,10,1,12,0,4,78,1,19,10,108,18,0,0
진넥스빌2(주상복합),APT,200304,EE,33.29,42.62,33.0,545,2.05,3.5,2.1,,,,2054.0,2755.0,2104.0,,,,37.501779,127.044005,15,0,15,1,4,58,1,20,12,102,10,0,1
